name,price,url,image
"Hershey, Chocolate and Sweets Assortment Miniatures Candy, Halloween, 60.8 oz, Bulk Bag (210 Pieces)",14.74,https://www.walmart.com/ip/Hershey-Chocolate-and-Sweets-Assortment-Miniatures-Candy-Halloween-60-8-oz-Bulk-Bag-210-Pieces/844213701,https://i5.walmartimages.com/asr/9ce8d24b-3fe9-4a23-ba45-554b541bbd9c.7728d4ee733554c041b2fae5a2982a3e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"Hershey, Miniatures Chocolate and Sweets Assortment Candy, Halloween, 33.9 oz, Bulk Variety Bag (110 Pieces)",9.94,https://www.walmart.com/ip/Hershey-Miniatures-Chocolate-and-Sweets-Assortment-Candy-Halloween-33-9-oz-Bulk-Variety-Bag-110-Pieces/766921628,https://i5.walmartimages.com/asr/61d55d9b-94db-4048-a225-f48746516b26.b6b54927ecfb26a9a66e5772c4ad34ba.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"Butterfinger Chocolate Candy Bars, Fun Size, 19.8 oz Jumbo Bag",4.88,https://www.walmart.com/ip/Butterfinger-Chocolate-Candy-Bars-Fun-Size-19-8-oz-Jumbo-Bag/896877954,https://i5.walmartimages.com/asr/98fb1ff8-ca57-4810-b79a-71738b9ac6bf.1baba06ae8673e0754e33c6a0456a0c7.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"M&M'S, Snickers, Twix and Milky Way Caramel Lovers Fun Size Halloween Candy Caramel Assortment - 33.87oz/55pc",9.94,https://www.walmart.com/ip/M-M-S-Snickers-Twix-and-Milky-Way-Caramel-Lovers-Fun-Size-Halloween-Candy-Caramel-Assortment-33-87oz-55pc/206111858,https://i5.walmartimages.com/asr/69fa1ab4-a146-4a3d-a8eb-403e5a0b1c15.530be5244e3e02659810e94b4c049e45.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"M&M'S, SNICKERS, TWIX, 3 MUSKETEERS & MILKY WAY Halloween Chocolate Candy Variety Mix 77.58-Ounce 250-Piece Bag",55.62,https://www.walmart.com/ip/M-M-S-SNICKERS-TWIX-3-MUSKETEERS-MILKY-WAY-Halloween-Chocolate-Candy-Variety-Mix-77-58-Ounce-250-Piece-Bag/465955893,https://i5.walmartimages.com/asr/a162c855-af5d-41f3-91f6-8050371a44d8.21d6189ec0b694149825b7d472b65c06.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"REESE'S, TAKE 5, Pretzels, Caramel, Peanut Butter, Peanut and Chocolate Snack Size Candy Bars, Individually Wrapped, 11.25 oz, Bag",4.98,https://www.walmart.com/ip/REESE-S-TAKE-5-Pretzels-Caramel-Peanut-Butter-Peanut-and-Chocolate-Snack-Size-Candy-Bars-Individually-Wrapped-11-25-oz-Bag/21554158,https://i5.walmartimages.com/asr/dfaac82a-6669-4ed4-bd46-a3e32991b6c7_1.075148beeb6977c3694d9d0a8baaff66.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"Snickers, Twix, 3 Musketeers, and Milky Way Full Size Halloween Candy Bar Variety Box - 33.31oz/18ct",4.98,https://www.walmart.com/ip/Snickers-Twix-3-Musketeers-and-Milky-Way-Full-Size-Halloween-Candy-Bar-Variety-Box-33-31oz-18ct/26356642,https://i5.walmartimages.com/asr/b4c654a4-8e59-4189-8102-339f28732406.068ca5bd8f21d9f96bf786afc9b86ef6.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"Payday, Halloween Peanut Caramel Snack Size Candy Bars, 20.3 Oz.",4.88,https://www.walmart.com/ip/Payday-Halloween-Peanut-Caramel-Snack-Size-Candy-Bars-20-3-Oz/10450462?athbdg=L1300,https://i5.walmartimages.com/asr/abaf2a51-2a34-4b80-8e25-37e65e128c70_1.f7e3e48a102424b3c9f87376a724adaa.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"HERSHEY'S, Milk Chocolate Snack Size Candy, Halloween, 19.8 oz, Jumbo Bag",4.88,https://www.walmart.com/ip/HERSHEY-S-Milk-Chocolate-Snack-Size-Candy-Halloween-19-8-oz-Jumbo-Bag/870788980,https://i5.walmartimages.com/asr/6fd11456-3430-4fc2-87b1-be7155cd4f98.88b148c05c2065e17914703f07ae6afd.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
"Hershey, Chocolate and White Creme Assortment Miniatures Candy, Halloween, 81.4 oz, Bulk Variety Bag (250 Pieces)",19.54,https://www.walmart.com/ip/Hershey-Chocolate-and-White-Creme-Assortment-Miniatures-Candy-Halloween-81-4-oz-Bulk-Variety-Bag-250-Pieces/648479513,https://i5.walmartimages.com/asr/b35e768e-5c13-4e80-be3b-eaea36ffac36.8d0e85202c21394ea2edb6483fec57a0.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff
